	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Il4ra	1.5092215538024902	124.5627518359079	8.028266455451305e-27	6.114412804411606e-10	6.706429497923976e-08	0.0001506042065310009	1.0
Tma7	1.6612943410873413	124.08390789969043	1.0180712959529032e-26	1.0995201959437038e-13	1.5823707529791816e-10	1.5612160289735677e-07	1.0
Hmgb1	1.6509735584259033	123.51015628672259	1.353244450977811e-26	1.9236167477685654e-10	9.832167851139653e-06	7.984910244049868e-05	1.0
Eif5a	1.5715084075927734	122.89949002970681	1.8319833113368304e-26	6.350878140515847e-10	6.268374136508877e-06	0.0001779478783872163	1.0
Reep3	1.5737671852111816	120.92328427181901	4.8818613985081555e-26	5.380908455922353e-08	3.366983730835759e-07	0.0019724287601791887	1.0
Chic2	1.5380586385726929	119.57543240072653	9.525181964307933e-26	6.73891560175297e-09	1.4024490917575255e-08	0.0003882351030945617	1.0
Ikbke	1.5435293912887573	119.36511106481439	1.057226271055258e-25	0.003602405290040525	4.027205666202578e-09	1.897945706362326e-07	1.0
Iscu	1.6359375715255737	119.32678389026127	1.0775116922179153e-25	6.4641684373143535e-12	6.597367625752631e-07	4.326212658280431e-06	1.0
Fmnl1	1.5177217721939087	118.08440246605642	1.9951077157666573e-25	2.423861887853425e-09	3.9994551848805427e-13	6.480531308682535e-05	1.0
Tnfaip8	1.551159143447876	118.06794950900827	2.0114502926047046e-25	1.390167281561547e-09	1.8791843480302135e-05	0.00023935221488024367	1.0
Rpl37a	1.6875145435333252	116.29766646121085	4.838329960551166e-25	1.7970610357805614e-13	1.6055717956417866e-08	1.5868917352509072e-07	1.0
P2rx4	1.6278599500656128	113.46469834826911	1.970618082970742e-24	5.062207362271159e-06	2.8951782330965784e-09	2.277187640985158e-11	1.0
Pbxip1	1.604537010192871	111.49500415081357	5.230935052425267e-24	2.828991072869569e-07	3.0161594189320113e-05	0.004605857097867577	1.0
Tmem189	1.5700716972351074	110.89360681217454	7.04721021844768e-24	0.0013952772642667447	6.333153910822284e-08	6.333153910822284e-08	1.0
Scimp	1.577820897102356	108.82997531585183	1.9593969703392745e-23	1.210894666898124e-09	0.0006834531870315294	0.00015631813348830338	1.0
Canx	1.615813136100769	107.68228079434591	3.4600341619086175e-23	0.00019196008355958376	3.5633790497930905e-08	6.273723277618066e-09	1.0
Irf5	1.5005892515182495	104.97928817856898	1.3201050465925948e-22	3.303323985827541e-07	9.901606898386948e-08	0.0030204477334652025	1.0
Wipf1	1.6338516473770142	104.40771238007758	1.7521089226472323e-22	3.2188745268690057e-10	2.5827687016131455e-07	2.7771787776236075e-05	1.0
Vav1	1.5867364406585693	102.0715161561238	5.572347676455155e-22	1.0645341734986194e-05	7.373641901634574e-13	9.06341361589311e-10	1.0
Hilpda	1.537795901298523	101.49882633654826	7.39942163478116e-22	0.00021632326749515998	4.5536890220658986e-10	2.036298846374913e-08	1.0
Srpr	1.513715147972107	101.06674213499981	9.164632685986246e-22	5.104056351481675e-07	0.00019978635483011343	0.005538072189775079	1.0
Nfat5	1.5780214071273804	99.59882213097919	1.895633284614051e-21	3.544246046483612e-07	3.3971539721270494e-05	0.003357879853655689	1.0
Ywhab	1.6042578220367432	99.42174456797947	2.0693185942855484e-21	4.198727218000337e-07	0.0001856887128561717	0.004491834868073382	1.0
Chmp2a	1.5259593725204468	98.61715342134228	3.0818553662803944e-21	1.9388543685204248e-08	1.641348156444891e-09	0.0002158083941097983	1.0
Zmiz1	1.628071904182434	98.25673417740734	3.683807356628627e-21	3.3513603468934878e-06	6.081106338647482e-12	1.9669444930512922e-10	1.0
Stxbp2	1.5379623174667358	97.61839846259055	5.052687992717695e-21	1.301625526599383e-07	1.5348071523214837e-05	0.001680885133053471	1.0
Rps10	1.6192978620529175	97.50738529066572	5.338097687916073e-21	5.1776675199713585e-09	2.217496479404805e-07	0.00013140736935537958	1.0
Zfp36l2	1.6679106950759888	96.76723237054024	7.69993653872135e-21	4.18189935035937e-10	1.4529355477987462e-05	2.256965685868101e-05	1.0
Rpl17	1.6820614337921143	96.62084315997497	8.278525830795483e-21	8.884189508153988e-13	8.311106881089248e-10	7.171134727991155e-08	1.0
Tmem243	1.5622936487197876	95.20342789633327	1.6695391960029363e-20	2.5664401703902932e-06	5.300048955324827e-05	0.008688177616599065	1.0
